Tower Level,Tower Name,$,Unlock Rank,Tower Disc,Tower Tags,,Damage,AP,RPS,RPM,DPS,Min Range,Range,Mag size,Reload speed,Acc %,,Splash Range,Splash DMG,,Time,DMG over Time,,Crit DMG,Crit %,,Crit Time,Crit DMG over Time,Crit Splash R,Crit Splash DMG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0,
Base,Artillery Tower,600,,"Late game tower. Has an very large splash damage, as well as a slow reload. Cannot fire within 3 tiles. ","Armor Pen 3, Semi-Auto, Rounds Reload, Exposive, Ranged",,40,3,1,60,40,4,8,1,8.00,100.00,,1,500,,0,0,,0,0,,0,0,0,0
Upgrade 1,Artillery Tower - Reload Crew,50,,More personell can load a shell faster.,"Armor Pen 3, Semi-Auto, Rounds Reload, Exposive, Ranged",,40,3,1,60,40,4,8,1,7.00,100.00,,1,500,,0,0,,0,0,,0,0,0,0
Upgrade 2,Artillery Tower  - Better Aerodynamics,50,,Aerodynamic shells can reach targets further away,"Armor Pen 3, Semi-Auto, Rounds Reload, Exposive, Ranged",,40,3,1,60,40,4,11,1,7.00,100.00,,1,500,,0,0,,0,0,,0,0,0,0
Upgrade 3,Artillery Tower - Additonal Reload Crew,100,,Even more personell can load a shell faster.,"Armor Pen 3, Semi-Auto, Rounds Reload, Exposive, Ranged",,40,3,1,60,40,4,8,1,6.00,100.00,,1,500,,0,0,,0,0,,0,0,0,0
Upgrade 3,Artillery Tower  - Heavier Payload,400,,"Heavier shells deal more damage over a larger area, but reduce the range and prevent the tower from firing within 4 tiles.","Armor Pen 3, Semi-Auto, Rounds Reload, Exposive, Ranged",,60,3,1,60,60,5,10,1,6.00,100.00,,2,600,,0,0,,0,0,,0,0,0,0
,,,,,,,,,,,,Min Range,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Min Range,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
