Tower Level,Tower Name,$,Unlock Rank,Tower Disc,Tower Tags,,Damage,AP,RPS,RPM,DPS,Min Range,Range,Mag size,Reload speed,Acc %,,Splash Range,Splash DMG,,Time,DMG over Time,,Crit DMG,Crit %,,Crit Time,Crit DMG over Time,Crit Splash R,Crit Splash DMG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0,
Base,RPG Tower,300,,"Mid game tower. Has a large splash damage, but slow reload. Cannot fire within 1 tile. ","Armor Pen 3, Semi-Auto, Rounds Reload, Exposive, Heavy",,25,3,1,60,25,2,5,1,3.00,100.00,,1,200,,0,0,,0,0,,0,0,0,0
Upgrade 1,RPG Tower - Rapid Reload,25,,A quicker reload speed allows the tower to return to firing faster.,"Armor Pen 3, Semi-Auto, Rounds Reload, Exposive, Heavy",,25,3,1,60,25,2,5,1,2.00,100.00,,1,200,,0,0,,0,0,,0,0,0,0
Upgrade 2,RPG Tower - Better Aerodynamics,50,,Aerodynamic rockets can reach targets further away,"Armor Pen 3, Semi-Auto, Rounds Reload, Exposive, Heavy",,25,3,1,60,25,2,7,1,2.00,100.00,,1,200,,0,0,,0,0,,0,0,0,0
Upgrade 3,RPG Tower - Heavier Payload,100,,"Heavier rockets deal more damage over a larger area, but reduce the range and prevent the tower from firing within 2 tiles.","Armor Pen 3, Semi-Auto, Rounds Reload, Exposive, Heavy",,50,3,1,60,50,3,6,1,2.00,100.00,,2,350,,0,0,,0,0,,0,0,0,0
Upgrade 3,RPG Tower - Critical Hit,150,,Rockets have a small chance to deal double damage.,"Armor Pen 3, Semi-Auto, Rounds Reload, Exposive, Heavy",,50,3,1,60,50,3,6,1,2.00,100.00,,2,350,,0,0,,100,10,,0,0,2,700
,,,,,,,,,,,,Min Range,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Min Range,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Min Range,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
