Tower Level,Tower Name,$,Unlock Rank,Tower Disc,Tower Tags,,Damage,AP,RPS,RPM,DPS,Min Range,Range,Mag size,Reload speed,Acc %,,Splash Range,Splash DMG,,Time,DMG over Time,,Crit DMG,Crit %,,Crit Time,Crit DMG over Time,Crit Splash R,Crit Splash DMG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0,
Base,Machine Gun Tower,500,,Late game tower. Strong DPS and magazine is balanced with a slow reload and lower accuracy.,"Armor Pen 0, Automatic, Heavy",,35,0,9,540,315,1,2,100,5.00,80,,0,0,,0,0,,0,0,,0,0,0,0
Upgrade 1,Machine Gun Tower - Tactical Laser,50,,"Adds a tactical laser to the tower, increasing it's accuracy.","Armor Pen 0, Automatic, Heavy",,35,0,9,540,315,1,2,100,5.00,90, ,0,0,,0,0,,0,0,,0,0,0,0
Upgrade 2,Machine Gun Tower - Reload Crew,50,,More personell can reload the machine gun faster.,"Armor Pen 0, Automatic, Heavy",,35,0,9,540,315,1,2,100,4.00,90,,0,0,,0,0,,0,0,,0,0,0,0
Upgrade 3,Machine Gun Tower - AP Rounds,100,,Armor piercing rounds allow this tower to deal full damage to armor I enemies.,"Armor Pen 1, Automatic, Heavy",,35,1,9,540,315,1,2,100,4.00,90,,0,0,,0,0,,0,0,,0,0,0,0
Upgrade 4,Machine Gun Tower - Belt Fed,100,,"Ammo to the machine gun is fed from an ammo crate with a belt, only requiring to reconnect the belt to a new ammo box, signiffically increasing mag size.","Armor Pen 1, Automatic, Belt-Fed, Heavy",,35,1,9,540,315,1,2,500,6.00,90,,0,0,,0,0,,0,0,,0,0,0,0
,,,,,,,,,,,,Min Range,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Min Range,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Min Range,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Min Range,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
